"시군별(1)",시군별(2),2023,2023,2023,2023,2023,2023
"시군별(1)",시군별(2),농가 (가구),농가 (가구),농가 (가구),농가인구 (명),농가인구 (명),농가인구 (명)
"시군별(1)",시군별(2),소계,전업,겸업,소계,남자,여자
"합계",소계,109629,53120,56509,264459,132166,132293
"남부",소계,77087,37753,39331,183667,91374,92294
"남부",수원시,3575,957,2619,9892,5039,4853
"남부",성남시,1137,461,676,2743,1429,1314
"남부",안양시,1020,360,660,2672,1337,1335
"남부",부천시,1036,286,749,2592,1234,1358
"남부",광명시,648,270,378,1589,776,813
"남부",평택시,7946,4161,3785,17233,8614,8619
"남부",안산시,1659,898,761,3880,2010,1870
"남부",과천시,246,118,127,603,298,305
"남부",오산시,1132,341,791,3019,1455,1564
"남부",시흥시,1321,480,840,3285,1705,1580
"남부",군포시,596,229,367,1635,852,783
"남부",의왕시,673,332,341,1623,801,822
"남부",하남시,719,419,301,2050,1078,972
"남부",용인시,6913,2439,4475,17700,8630,9070
"남부",이천시,7908,3950,3957,19263,9536,9728
"남부",안성시,9421,5221,4200,19983,9694,10289
"남부",김포시,5187,2667,2520,13643,6668,6975
"남부",화성시,9819,5544,4275,24161,12360,11801
"남부",광주시,3928,1896,2031,9087,4614,4473
"남부",여주시,6398,2916,3482,14744,7378,7366
"남부",양평군,5805,3808,1996,12270,5866,6404
"북부",소계,32545,15367,17179,80792,40792,39997
"북부",의정부시,1055,348,707,2759,1235,1523
"북부",동두천시,630,315,315,1564,824,740
"북부",고양시,5266,2174,3093,14672,7445,7226
"북부",구리시,437,152,286,1254,659,595
"북부",남양주시,3558,1817,1740,8518,4296,4221
"북부",파주시,7012,2844,4168,17007,8858,8149
"북부",양주시,3153,1602,1550,8255,4122,4133
"북부",포천시,5355,2839,2517,12969,6269,6700
"북부",연천군,2844,1804,1040,6312,3210,3102
"북부",가평군,3235,1472,1763,7482,3874,3608
