"시군별(1)","농가현황별(1)",농가현황별(2),농가현황별(3),2020,2021,2022
"계","농가 (가구)",소계,소계,66425,70177,71536
"계","농가 (가구)",전업,소계,41442,40331,41300
"계","농가 (가구)",겸업,소계,24983,29846,30236
"계","농가인구 (명)",소계,소계,147904,151793,152749
"계","농가인구 (명)",남,소계,74817,76619,76750
"계","농가인구 (명)",여,소계,73087,75174,75999
"청주시","농가 (가구)",소계,소계,15977,17017,17457
"청주시","농가 (가구)",전업,소계,8734,7778,8083
"청주시","농가 (가구)",겸업,소계,7243,9239,9374
"청주시","농가인구 (명)",소계,소계,38113,40044,40508
"청주시","농가인구 (명)",남,소계,19231,20305,20502
"청주시","농가인구 (명)",여,소계,18882,19738,20006
"충주시","농가 (가구)",소계,소계,8933,9913,10001
"충주시","농가 (가구)",전업,소계,5514,5519,5097
"충주시","농가 (가구)",겸업,소계,3419,4394,4904
"충주시","농가인구 (명)",소계,소계,20202,20703,21042
"충주시","농가인구 (명)",남,소계,10236,10140,10383
"충주시","농가인구 (명)",여,소계,9966,10563,10659
"제천시","농가 (가구)",소계,소계,6383,6053,6300
"제천시","농가 (가구)",전업,소계,3769,3525,3850
"제천시","농가 (가구)",겸업,소계,2614,2528,2450
"제천시","농가인구 (명)",소계,소계,14051,12695,13003
"제천시","농가인구 (명)",남,소계,7116,6470,6651
"제천시","농가인구 (명)",여,소계,6935,6225,6352
"보은군","농가 (가구)",소계,소계,4099,4280,4434
"보은군","농가 (가구)",전업,소계,2887,2752,2789
"보은군","농가 (가구)",겸업,소계,1212,1528,1645
"보은군","농가인구 (명)",소계,소계,8762,9428,9314
"보은군","농가인구 (명)",남,소계,4387,4538,4654
"보은군","농가인구 (명)",여,소계,4375,4890,4660
"옥천군","농가 (가구)",소계,소계,5267,5145,5256
"옥천군","농가 (가구)",전업,소계,3332,3075,2966
"옥천군","농가 (가구)",겸업,소계,1935,2070,2290
"옥천군","농가인구 (명)",소계,소계,11283,10813,11209
"옥천군","농가인구 (명)",남,소계,5694,5520,5606
"옥천군","농가인구 (명)",여,소계,5589,5293,5603
"영동군","농가 (가구)",소계,소계,5958,6501,6567
"영동군","농가 (가구)",전업,소계,4172,4190,4697
"영동군","농가 (가구)",겸업,소계,1786,2311,1870
"영동군","농가인구 (명)",소계,소계,12685,12786,12738
"영동군","농가인구 (명)",남,소계,6388,6492,6216
"영동군","농가인구 (명)",여,소계,6297,6294,6522
"증평군","농가 (가구)",소계,소계,1484,1370,1397
"증평군","농가 (가구)",전업,소계,806,688,706
"증평군","농가 (가구)",겸업,소계,678,682,691
"증평군","농가인구 (명)",소계,소계,3389,3274,3180
"증평군","농가인구 (명)",남,소계,1708,1760,1666
"증평군","농가인구 (명)",여,소계,1681,1514,1514
"진천군","농가 (가구)",소계,소계,3592,4387,4479
"진천군","농가 (가구)",전업,소계,2107,2454,2248
"진천군","농가 (가구)",겸업,소계,1485,1933,2231
"진천군","농가인구 (명)",소계,소계,7998,9499,9727
"진천군","농가인구 (명)",남,소계,4044,4814,4841
"진천군","농가인구 (명)",여,소계,3954,4685,4886
"괴산군","농가 (가구)",소계,소계,5187,5724,5696
"괴산군","농가 (가구)",전업,소계,3750,4290,4399
"괴산군","농가 (가구)",겸업,소계,1437,1434,1297
"괴산군","농가인구 (명)",소계,소계,10706,11358,11209
"괴산군","농가인구 (명)",남,소계,5466,5942,5784
"괴산군","농가인구 (명)",여,소계,5240,5416,5425
"음성군","농가 (가구)",소계,소계,6318,6626,6662
"음성군","농가 (가구)",전업,소계,4205,3879,4167
"음성군","농가 (가구)",겸업,소계,2113,2748,2495
"음성군","농가인구 (명)",소계,소계,14291,14797,14256
"음성군","농가인구 (명)",남,소계,7301,7433,7184
"음성군","농가인구 (명)",여,소계,6990,7364,7072
"단양군","농가 (가구)",소계,소계,3227,3161,3288
"단양군","농가 (가구)",전업,소계,2166,2181,2298
"단양군","농가 (가구)",겸업,소계,1061,980,990
"단양군","농가인구 (명)",소계,소계,6424,6396,6563
"단양군","농가인구 (명)",남,소계,3246,3204,3262
"단양군","농가인구 (명)",여,소계,3178,3192,3301
