시군별,2023년 농가,2023년 귀농 인구
경기 수원시,3575,0.0
경기 성남시,1137,0.0
경기 안양시,1020,0.0
경기 부천시,1036,0.0
경기 광명시,648,0.0
경기 평택시,7946,73.0
경기 안산시,1659,0.0
경기 과천시,246,0.0
경기 오산시,1132,0.0
경기 시흥시,1321,0.0
경기 군포시,596,0.0
경기 의왕시,673,0.0
경기 하남시,719,0.0
경기 용인시,6913,56.0
경기 이천시,7908,84.0
경기 안성시,9421,81.0
경기 김포시,5187,58.0
경기 화성시,9819,160.0
경기 광주시,3928,33.0
경기 여주시,6398,102.0
경기 양평군,5805,120.0
경기 의정부시,1055,0.0
경기 동두천시,630,0.0
경기 고양시,5266,0.0
경기 구리시,437,0.0
경기 남양주시,3558,61.0
경기 파주시,7012,50.0
경기 양주시,3153,24.0
경기 포천시,5355,60.0
경기 연천군,2844,32.0
경기 가평군,3235,39.0
경남 창원시,13170,40.0
경남 진주시,12211,60.0
경남 통영시,3269,20.0
경남 사천시,5654,49.0
경남 김해시,8175,43.0
경남 밀양시,9431,114.0
경남 거제시,5595,39.0
경남 양산시,2761,33.0
경남 의령군,3956,50.0
경남 함안군,5113,56.0
경남 창녕군,6977,87.0
경남 고성군,5370,17.0
경남 남해군,6645,74.0
경남 하동군,5974,86.0
경남 산청군,5376,123.0
경남 함양군,4708,72.0
경남 거창군,5535,98.0
경남 합천군,6353,98.0
경북 포항시,12988,94.0
경북 경주시,12178,94.0
경북 김천시,12605,130.0
경북 안동시,11416,108.0
경북 구미시,9912,57.0
경북 영주시,7992,52.0
경북 영천시,7968,159.0
경북 상주시,13652,167.0
경북 문경시,7539,104.0
경북 경산시,6812,51.0
경북 의성군,8637,202.0
경북 청송군,5299,82.0
경북 영양군,2896,40.0
경북 영덕군,3102,52.0
경북 청도군,6582,108.0
경북 고령군,3930,69.0
경북 성주군,5836,93.0
경북 칠곡군,4601,31.0
경북 예천군,7974,117.0
경북 봉화군,5716,91.0
경북 울진군,4151,40.0
경북 울릉군,452,9.0
전남 목포시,1506,0.0
전남 여수시,9023,43.0
전남 순천시,12664,95.0
전남 나주시,10708,126.0
전남 광양시,6892,43.0
전남 담양군,6621,119.0
전남 곡성군,4598,108.0
전남 구례군,4246,47.0
전남 고흥군,9039,132.0
전남 보성군,7093,92.0
전남 화순군,5967,78.0
전남 장흥군,5593,66.0
전남 강진군,5366,77.0
전남 해남군,11074,118.0
전남 영암군,6917,98.0
전남 무안군,7172,98.0
전남 함평군,5522,97.0
전남 영광군,6048,80.0
전남 장성군,6079,90.0
전남 완도군,3341,45.0
전남 진도군,4579,46.0
전남 신안군,6825,105.0
전북 전주시,6551,0.0
전북 군산시,6558,36.0
전북 익산시,10674,78.0
전북 정읍시,10396,101.0
전북 남원시,7375,85.0
전북 김제시,7608,119.0
전북 완주군,7392,115.0
전북 진안군,3457,69.0
전북 무주군,3995,56.0
전북 장수군,3504,49.0
전북 임실군,3349,83.0
전북 순창군,4793,91.0
전북 고창군,7946,129.0
전북 부안군,6857,88.0
제주 제주시,17170,137.0
제주 서귀포시,13186,106.0
세종시,6573,0.0
충남 천안시,9876,58.0
충남 공주시,10101,87.0
충남 보령시,6822,79.0
충남 아산시,8556,101.0
충남 서산시,10623,121.0
충남 논산시,9599,103.0
충남 계룡시,480,14.0
충남 당진시,10695,111.0
충남 금산군,6235,103.0
충남 부여군,7119,103.0
충남 서천군,6741,90.0
충남 청양군,5569,65.0
충남 홍성군,9365,92.0
충남 예산군,8486,107.0
충남 태안군,6895,99.0
충북 청주시,17457,96.0
충북 충주시,10001,63.0
충북 제천시,6300,59.0
충북 보은군,4434,63.0
충북 옥천군,5256,81.0
충북 영동군,6567,92.0
충북 증평군,1397,9.0
충북 진천군,4479,40.0
충북 괴산군,5696,94.0
충북 음성군,6662,59.0
충북 단양군,3288,74.0
강원 춘천시,14340,51.0
강원 원주시,19586,67.0
강원 강릉시,14787,44.0
강원 동해시,3713,0.0
강원 태백시,1379,0.0
강원 속초시,2441,0.0
강원 삼척시,7444,22.0
강원 홍천군,14183,102.0
강원 횡성군,11670,101.0
강원 영월군,6915,66.0
강원 평창군,8270,66.0
강원 정선군,4080,37.0
강원 철원군,7533,22.0
강원 화천군,3663,22.0
강원 양구군,3964,26.0
강원 인제군,5754,36.0
강원 고성군,4569,17.0
강원 양양군,5410,41.0
